execution_date,video_id,views_delta,likes_delta,comments_delta,previous_views,current_views,previous_likes,current_likes,previous_comments,current_comments,is_new_video,title_changed,description_changed,tags_changed
2026-05-07T11:23:42.805421+00:00,wgtGulLPwE8,1197,142,7,13280,14477,2482,2624,242,249,False,False,False,False
2026-05-07T11:23:42.805421+00:00,NOv3U3ZUiro,4588,111,-1,81579,86167,3521,3632,135,134,False,False,False,False
2026-05-07T11:23:42.805421+00:00,fvtE4TCiMa0,313,13,1,4761,5074,249,262,45,46,False,False,False,False
2026-05-07T11:23:42.805421+00:00,YpOBx8xUEn8,568,35,1,4877,5445,211,246,5,6,False,False,False,False
2026-05-07T11:23:42.805421+00:00,9ZkFpNoq8-g,24113,739,39,353355,377468,15468,16207,1397,1436,False,False,False,False
2026-05-07T11:23:42.805421+00:00,GREaEG_0Xcw,39287,994,64,493667,532954,17712,18706,1887,1951,False,False,False,False
2026-05-07T11:23:42.805421+00:00,Ehoi-h7_rgM,3113,207,18,23462,26575,2591,2798,271,289,False,False,False,False
2026-05-07T11:23:42.805421+00:00,Q47YOagFwk8,677,12,0,3220,3897,56,68,2,2,False,False,False,False
2026-05-07T11:23:42.805421+00:00,u3RceRwvVaw,163,12,0,1957,2120,119,131,7,7,False,False,False,False
2026-05-07T11:23:42.805421+00:00,75QtulYanTE,10528,294,1,94689,105217,2761,3055,109,110,False,False,False,False
2026-05-07T11:23:42.805421+00:00,qobWiBK3PPY,941,13,1,15201,16142,325,338,7,8,False,False,False,False
2026-05-07T11:23:42.805421+00:00,_jqAr4E6dGs,90,8,0,1116,1206,57,65,1,1,False,False,False,False
2026-05-07T11:23:42.805421+00:00,r79B-_e2v-s,11618,270,32,64874,76492,2962,3232,392,424,False,False,False,False
2026-05-07T11:23:42.805421+00:00,CWCrgNlU4UY,74,1,0,970,1044,62,63,1,1,False,False,False,False
2026-05-07T11:23:42.805421+00:00,_OGwq1_pxCE,4553,155,2,41834,46387,2204,2359,98,100,False,False,False,False
2026-05-07T11:23:42.805421+00:00,7tilLI0Vifk,2409,120,7,22589,24998,1683,1803,115,122,False,False,False,False
2026-05-07T11:23:42.805421+00:00,yhuivB5l4dQ,94,0,0,5705,5799,51,51,1,1,False,False,False,False
2026-05-07T11:23:42.805421+00:00,dyy-YNiS0U4,249,18,0,1650,1899,135,153,2,2,False,False,False,False
2026-05-07T11:23:42.805421+00:00,rzVhPTSNWnE,2229,49,3,52970,55199,1593,1642,592,595,False,False,False,False
2026-05-07T11:23:42.805421+00:00,0GrbT_3jyoc,18176,383,4,169048,187224,9353,9736,115,119,False,False,False,False
2026-05-07T11:23:42.805421+00:00,jLqibx29wgs,402,23,0,2612,3014,82,105,1,1,False,False,False,False
2026-05-07T11:23:42.805421+00:00,7eJtgn-ZUCw,103,5,0,963,1066,41,46,0,0,False,False,False,False
2026-05-07T11:23:42.805421+00:00,aa_n-rMfKHE,10,0,0,84,94,7,7,0,0,False,False,False,False
2026-05-07T11:23:42.805421+00:00,MPsK-Z5jIuc,1426,35,4,11875,13301,567,602,146,150,False,False,False,False
2026-05-07T11:23:42.805421+00:00,_7wkQHhLLaU,8093,149,-5,41247,49340,1157,1306,58,53,False,False,False,False
2026-05-07T11:23:42.805421+00:00,daPR3ZqGbag,844,19,2,6118,6962,336,355,10,12,False,False,False,False
2026-05-07T11:23:42.805421+00:00,_O-il5eIVDo,3137,99,4,19116,22253,1192,1291,79,83,False,False,False,False
2026-05-07T11:23:42.805421+00:00,J7L9ZfugS1M,0,0,0,0,0,0,0,0,0,False,False,False,False
2026-05-07T11:23:42.805421+00:00,M0HtojL-OXQ,872,17,0,3084,3956,83,100,1,1,False,False,False,False
2026-05-07T11:23:42.805421+00:00,5V-qwSnDOJs,22770,678,67,26660,49430,1202,1880,121,188,False,False,False,False
2026-05-07T11:23:42.805421+00:00,ubtx51mzCbo,5818,335,-1,21951,27769,1895,2230,52,51,False,False,False,False
2026-05-07T11:23:42.805421+00:00,PJQhN8D12Vk,4037,127,-3,13877,17914,795,922,42,39,False,False,False,False
2026-05-07T11:23:42.805421+00:00,IaBf1jTYaIw,4207,58,-5,21329,25536,461,519,65,60,False,False,False,False
2026-05-07T11:23:42.805421+00:00,z1aIT-fzbhY,2465,70,-1,16915,19380,621,691,60,59,False,False,False,False
2026-05-07T11:23:42.805421+00:00,1-zrnj9Z6FA,180,7,0,939,1119,47,54,1,1,False,False,False,False
2026-05-07T11:23:42.805421+00:00,Or6yvefovGU,3208,148,0,7358,10566,378,526,35,35,False,False,False,False
2026-05-07T11:23:42.805421+00:00,gIuPUj-p2Q4,309,0,0,6742,7051,63,63,1,1,False,False,False,False
2026-05-07T11:23:42.805421+00:00,6sARbvvnHxw,8089,324,15,19790,27879,1239,1563,93,108,False,False,False,False
2026-05-07T11:23:42.805421+00:00,rXhoGMAeoS8,590,20,0,1714,2304,75,95,2,2,False,False,False,False
2026-05-07T11:23:42.805421+00:00,YIozys8ZjPs,390,11,0,2145,2535,61,72,1,1,False,False,False,False
