content_format,video_id,hybrid_decision_score,model_score_percentile,model_score,prediction_rank,decision_score,confidence_level
videos,JrUKXzv8a6c,75.0006,75.7831,0.44234981,2939,73.8269,high
videos,YQVP2Tx6h3U,74.7875,77.0689,0.49575028,2783,71.3655,high
videos,N26ZtbiKlUQ,74.6225,83.7455,0.7739511,1973,60.9381,high
videos,PBSfVYCik18,74.5645,78.2229,0.54973667,2643,69.077,high
videos,JMSaPk0AYeo,74.5054,81.726,0.70339511,2218,63.6744,high
videos,RZtZISqYJcU,73.8407,83.6136,0.77039026,1989,59.1814,high
videos,3F97aykeu1o,73.5745,74.1428,0.36785028,3138,72.722,high
videos,gqBMMojSvgI,73.3463,83.3251,0.76135086,2024,58.378,high
videos,2_kyhUXyOlQ,72.9111,68.2328,0.17623958,3855,79.9286,high
videos,2JhSWzxzLXA,72.8479,77.9591,0.5352826,2675,65.1812,high
videos,O-bfttWN0y0,72.5417,77.7943,0.52881814,2695,64.6629,high
videos,H0ymuKNn4GQ,72.5393,79.4593,0.59813255,2493,62.1592,high
videos,dxtueGZWjzk,72.4794,77.1596,0.4997881,2772,65.4592,high
videos,rc-xQnupse0,72.3569,69.9472,0.22080605,3647,75.9714,high
videos,9Qce8Y5QSts,72.2134,70.3759,0.23227136,3595,74.9697,high
videos,sdmfFBn2wxc,71.8838,78.0168,0.53778407,2668,62.6842,high
videos,KbIBnQBdp_o,71.7971,78.3548,0.55612022,2627,61.9605,high
videos,502_MHOOFWI,71.6823,77.5305,0.51809656,2727,62.9101,high
videos,4ugCU_q5Ndo,71.4829,68.7685,0.18848857,3790,75.5544,high
videos,eG1DLYzzt3Y,71.3716,77.9097,0.53337832,2681,61.5645,high
videos,YOyIclInsdM,71.1823,71.9667,0.28435211,3402,70.0058,high
videos,gRKmoRy703A,70.9901,78.4454,0.55852483,2616,59.8072,high
videos,3U8uwYpSaWw,70.9101,76.9205,0.4898209,2801,61.8946,high
videos,HM9kRaDqYq4,70.8931,76.2117,0.45852049,2887,62.9153,high
videos,h_AEhXaqn58,70.875,73.368,0.34022104,3232,67.1354,high
videos,0CSk6Cj0Vkw,70.6233,83.3663,0.76201744,2019,51.5087,high
videos,nkaL9vCooOI,70.5859,69.8895,0.21962394,3654,71.6305,high
videos,ZarVnhg7P24,70.477,72.3623,0.29779892,3354,67.649,high
videos,rtL-9M6iStQ,70.3441,68.7933,0.18938977,3787,72.6703,high
videos,bueWJrxetoI,70.1863,80.6627,0.64936467,2347,54.4717,high
videos,NJ5Xm2HauEw,70.0572,74.2664,0.37328973,3123,63.7434,high
videos,wuoLa-K81bg,69.7651,76.8381,0.48612999,2811,59.1557,high
videos,0CHEg4pk9RQ,69.6738,71.5546,0.27001509,3452,66.8525,high
videos,tHOYDet9mMw,69.668,74.1592,0.36844134,3136,62.9312,high
videos,TMtM84wk2VM,69.515,71.604,0.2716936,3446,66.3814,high
videos,mYhcR7Pmk-8,69.4655,68.2245,0.17582292,3856,71.3269,high
videos,UGP6XlLadIA,69.4322,76.5991,0.4730429,2840,58.6818,high
videos,m5UJGXbs8AE,69.4283,67.1035,0.14639037,3992,72.9156,high
videos,FP7DSxBykBk,69.2465,71.3897,0.26617459,3472,66.0316,high
videos,AhMeK-JQ9UQ,69.1384,76.5496,0.47213448,2846,58.0215,high
videos,gOhgxxL7xxQ,68.8841,77.3821,0.51047014,2745,56.1372,high
videos,lYXtLjxH1dE,68.8812,79.1708,0.58713621,2528,53.4468,high
videos,wgtGulLPwE8,68.6831,74.0109,0.36254864,3154,60.6915,high
videos,DgX6SMZaC_8,68.4671,61.0864,0.05750286,4722,79.5382,high
videos,twcP4SS2Ou4,68.3147,74.3983,0.37862937,3107,59.1893,high
videos,Vwu0xUDtF3M,68.176,74.0686,0.36381647,3147,59.337,high
