grain,period_start,period_end,channel_id,channel_name,period_video_count,period_new_videos,period_views_delta,period_likes_delta,period_comments_delta,period_avg_engagement_rate,period_top_video_id,period_top_video_title,period_top_video_views_delta
monthly,2026-05-01,2026-05-31,UChXKjLEzAB1K7EZQey7Fm1Q,Pokimane,1,1,5427,214,4,0.058762,embu3gLFECI,im flying my friends out for my birthday…,5427
monthly,2026-05-01,2026-05-31,UCtoo4_P6ilCj7jwa4FmA5lQ,Soy Dalto,1,1,5340,327,7,0.062497,s2NSwy8xraQ,Con ESTO tu vida podria ser MÁS FÁCIL,5340
monthly,2026-05-01,2026-05-31,UC06rPIABrthG0hwLTVhINLA,ElMariana,2,2,5281,628,2,0.173717,tqNI9DE-Gtk,LA ISLA DE LAS MUÑECAS 💀,5281
monthly,2026-05-01,2026-05-31,UCEf_Bc-KVd7onSeifS3py9g,SMTOWN,1,1,5267,331,3,0.153949,294X5o83_Ic,TAEYONG 태용 'WYLD' MV Teaser,5267
monthly,2026-05-01,2026-05-31,UCX9NJ471o7Wie1DQe94RVIg,Fazt,2,1,5034,253,5,0.03978,viIPFFEXphk,¿Un desarrollador trabajando 24/7? Ya existe #openclaw,5006
monthly,2026-05-01,2026-05-31,UC6RTPEfYFMcb0-HLLMEpLdw,Caja de Peliculas,1,1,4909,216,9,0.067116,SdCa5nTCtxw,Le PAGARON por CADA PIQUETE de ABEJA 🐝💸 #Shorts #Viral #Peliculas #Terror #Datos,4909
monthly,2026-05-01,2026-05-31,UCP7jMXSY2xbc3KCAE0MHQ-A,Google DeepMind,2,2,4571,116,2,0.03837,AEH6dBOnE_U,This is Gemini Omni ♾️ #GoogleIO,4571
monthly,2026-05-01,2026-05-31,UCeLHszkByNZtPKcaVXOCOQQ,Post Malone,1,1,4398,184,121,0.055069,c9m0zR0_h4k,I’m heading to Nashville on June 30th and I want to bring one of you with me 🍻 meetpostmalone.com,4398
monthly,2026-05-01,2026-05-31,UCeiYXex_fwgYDonaTcSIk6w,MinuteEarth,1,1,4210,33,1,0.053379,CpK4PxPOITQ,These bioluminescent creatures are giving ✨glow✨,4210
monthly,2026-05-01,2026-05-31,UChl76B7zqfMcNzfMi9vJruw,Mizkif,1,1,3959,37,16,0.015848,bmfQsc0ZOCQ,Do this to become a billionaire #mizkif #investing,3959
monthly,2026-05-01,2026-05-31,UCcyq283he07B7_KUX07mmtA,Business Insider,2,2,3927,51,2,0.012254,72c_czW-ISM,Ex-OpenAI #researcher warns against the risks of #superintelligence. #AI #FutureTech,3927
