grain,period_start,period_end,channel_id,channel_name,period_video_count,period_new_videos,period_views_delta,period_likes_delta,period_comments_delta,period_avg_engagement_rate,period_top_video_id,period_top_video_title,period_top_video_views_delta
monthly,2026-05-01,2026-05-31,UC8rNKrqBxJqL9izOOMxBJtw,Willyrex,6,6,73532,3494,29,0.066751,3v3DaWeueyg,Hoy se acaba la Suerte de Fargan ,31893
monthly,2026-05-01,2026-05-31,UCK7tptUDHh-RYDsdxO1-5QQ,The Wall Street Journal,19,19,73468,1239,127,0.022341,JetP-W5azNA,The Big Business Buying Up America’s Hockey Rinks | WSJ,20878
monthly,2026-05-01,2026-05-31,UCCApWEDxZLSe2u0BB-znodA,Don Canitro 👺,1,1,72870,2826,107,0.063242,vxjrgy16ljc,Otros 30 Datos Geográficos que parecen Ciertos (Pero son FALSOS),72870
monthly,2026-05-01,2026-05-31,UCMsgXPD3wzzt8RxHJmXH7hQ,Cartoon Network,4,4,72692,2580,0,0.037919,uCI13vEkn24,FULL EPISODE | Regular Show: The Lost Tapes 🐦🦝📼 | Fix That Tape/Skips' Luau | Cartoon Network,64772
monthly,2026-05-01,2026-05-31,UC3nwmvE2aDzUSJ4evQ1NhoA,IA Innova,15,10,72648,2152,121,0.048242,wnoSOSgBNHk,¡La NUEVA “Simula” de Google es INCREÍBLE!,15103
monthly,2026-05-01,2026-05-31,UCjgl7IsyBNE6bl7d5RnnFXg,Cocina con Coqui,4,4,71770,4997,18,0.073376,2bL2P1qC9CY,Kimchi sin Ingredientes Raros 😏,46285
monthly,2026-05-01,2026-05-31,UCWn_0MmgojB711LFX-jaCDQ,El Rincón Del Dev,8,6,70918,1298,34,0.044309,tEFXfFkOkGA,Acelera tu web con @wprocket  👀 #desarrolloweb #programacion,54573
monthly,2026-05-01,2026-05-31,UCLYoURyGHMUuQ5YrfX55PWg,Aprendiz Financiero,13,7,70486,4104,37,0.075746,1pglkwgsu1I,☕️🍟 Por qué siempre hay TRES TAMAÑOS de Café o de Papas Fritas,13851
monthly,2026-05-01,2026-05-31,UChGJGhZ9SOOHvBB0Y4DOO_w,Ryan's World,4,4,68400,306,0,0.00816,Q7HX2xDAruM,Emma & Kate's BEST Summertime Science Experiments for Kid's! 😎☀,32431
monthly,2026-05-01,2026-05-31,UCV5G678sZwW5IcF3pCfRbHQ,La Hiperactina,3,2,65465,6177,336,0.10476,ZD538bXPQ50,¿Podrías SOBREVIVIR en el ESPACIO? ft. Sara García y Pablo Álvarez (ASTRONAUTAS),37599
monthly,2026-05-01,2026-05-31,UC2D2CMWXMOVWx7giW1n3LIg,Andrew Huberman,3,2,64619,1538,150,0.03269,Q2hOryHdgAk,How to Overcome Social Anxiety | Dr. Nick Epley,46855
monthly,2026-05-01,2026-05-31,UCm5iBOcQ0GET_2FqFI61QDA,Cara Nicole,7,7,63960,2669,281,0.057842,WhjPhyarsFI,Your Job Doesn't Care If You Go Broke,40432
monthly,2026-05-01,2026-05-31,UC3aj05GEEyzdOqYM5FLSFeg,midulive,2,2,62823,1711,163,0.044202,P9MkPdQc74o,¡Está pasando!,33426
monthly,2026-05-01,2026-05-31,UCEAZeUIeJs0IjQiqTCdVSIg,Yahoo Finance,52,46,60630,1534,626,0.028408,5jMioqhztYQ,"Why bitcoin dropped sharply below $77,000",21403
monthly,2026-05-01,2026-05-31,UCBnZ16ahKA2DZ_T5W0FPUXg,ChuChu TV Nursery Rhymes & Kids Songs,2,2,59552,73,0,0.002115,wOgNe9tj4EU,Johny Johny Yes Papa – Water - ChuChu TV Nursery Rhymes & Songs for Infants #ChuChuTV100M,44535
monthly,2026-05-01,2026-05-31,UCjSVqRtdOsxQDss_pJpp_Yg,COMPUESTOS Podcast,63,40,58218,2365,61,0.0599,lXVyuiseTsQ,Experto en Inversión: Cómo Invertir y Hacer Crecer Tu Dinero (Guía Real de Inversiones) | EP. #67,28786
monthly,2026-05-01,2026-05-31,UCShHFwKyhcDo3g7hr4f1R8A,World Science Festival,4,4,56779,1175,316,0.028912,iFYF_e1GSGI,The Uncomfortable Truth About AI “Reasoning” | World Science Festival,45393
monthly,2026-05-01,2026-05-31,UCYUQQgogVeQY8cMQamhHJcg,CinemaSins,4,4,56764,1288,103,0.038774,4JzMlsQlqrU,Everything Wrong With The Long Walk In 29 Minutes Or Less,35672
monthly,2026-05-01,2026-05-31,UCP5tjEmvPItGyLhmjdwP7Ww,RealLifeLore,1,1,56594,1354,534,0.043733,Km2A-9DwzeM,The World's Dumbest Geopolitical Conflict,56594
monthly,2026-05-01,2026-05-31,UCv05qOuJ6Igbe-EyQibJgwQ,Academia Play,2,2,56475,2258,44,0.04645,yH_UuZdEjh4,La Odisea: la historia de Ulises y el regreso a Ítaca,29592
monthly,2026-05-01,2026-05-31,UCbulh9WdLtEXiooRcYK7SWw,Metallica,4,4,53805,1795,123,0.058562,JJe8vTg5od4,"Metallica: Live at Riverbend Music Center, Cincinnati, OH - June 23, 1992 (Full Concert)",36293
monthly,2026-05-01,2026-05-31,UC9WGON3pXofvE958Uq3Lw3Q,Éxito Financiero — Finanzas Personales Y Educación,12,6,53518,1924,132,0.057545,wN3O2GSvoWE,¿No Sabes EN QUÉ Invertir? — Empieza AQUÍ,12583
monthly,2026-05-01,2026-05-31,UCey-eDTR5J6xU6pZ2f4guoA,Adin Live,5,4,53084,893,136,0.025229,oR9Nej3f1ZA,Ray J Started Crashing Out on Discord Face Offs… ,19866
monthly,2026-05-01,2026-05-31,UC52kszkc08-acFOuogFl5jw,Tibees,2,0,52216,2379,221,0.077128,o8YcWD2ri9U,Everything I've learned about self-publishing,29819
monthly,2026-05-01,2026-05-31,UCeUJFQ0D9qs6aVNyUt9fkeQ,The Armchair Historian,1,1,52026,2287,85,0.072116,vcg1WMzr9xw,U.S. Island Hopping Strategy,52026
monthly,2026-05-01,2026-05-31,UCY30JRSgfhYXA6i6xX1erWg,Smosh,1,1,51976,2242,100,0.065103,LOMhryKMIJc,Bit City Town Hall,51976
monthly,2026-05-01,2026-05-31,UCF7UoUGGOUcSSNcVDndq7KQ,Itzcalli,4,2,50472,5581,325,0.12142,INj5n4ISAi0,YUYA ES UNA GENIA DEL MARKETING,24254
monthly,2026-05-01,2026-05-31,UCcyq283he07B7_KUX07mmtA,Business Insider,17,17,49782,1911,227,0.019964,hhOvVT-a9rc,"These are the 42 American aircraft lost, damaged, or destroyed in the #Iranwar so far. #defense",20560
monthly,2026-05-01,2026-05-31,UCmObdAaNbtVVR1OkKUsdgqg,Las Recetas de MJ,4,4,49647,232,9,0.023267,Bo3AYSf6Bc4,Salmón en salsa cremosa: receta fácil y rápida,28232
monthly,2026-05-01,2026-05-31,UCLXo7UDZvByw2ixzpQCufnA,Vox,13,12,49387,1086,99,0.03384,eACPFk8m594,How to be more creative | The Gray Area,9201
monthly,2026-05-01,2026-05-31,UCM-GvgUy0EAZU7ZwXKLarkg,López-Dóriga,47,46,48732,1435,41,0.044166,VTgZ1owPRLU,En Vivo | Joaquín López-Dóriga en Radio Fórmula | 19/05/26,19083
monthly,2026-05-01,2026-05-31,UCFbNIlppjAuEX4znoulh0Cw,Web Dev Simplified,2,2,48365,1623,81,0.040781,UngVdAsQEiU,The Best Local Agentic Coding Workflow (Complete Guide),40322
monthly,2026-05-01,2026-05-31,UC22BdTgxefuvUivrjesETjg,History Matters,1,1,47383,1449,99,0.052178,YuYDi5dh_70,Why didn't Germany stop expanding in 1939? (Short Animated Documentary),47383
monthly,2026-05-01,2026-05-31,UCFOSg71CRAJ58IPuV_-jMbw,Tecnonauta,2,2,47130,1988,191,0.058945,FZMKEasVKw8,"TELÉFONO MÁS BARATO ES MEJOR!!!!? ¿Samsung, Google o Nothing?",30096
monthly,2026-05-01,2026-05-31,UCUHW94eEFW7hkUMVaZz4eDg,minutephysics,1,1,47097,2121,105,0.065491,PTO0s8YQ49o,The Magic of Thorium Nuclear Reactors,47097
monthly,2026-05-01,2026-05-31,UCG8rbF3g2AMX70yOd8vqIZg,Logan Paul,1,1,47006,1040,10,0.034862,TERsJnGoPVo,I Confronted Clavicular,47006
monthly,2026-05-01,2026-05-31,UCkJEpR7JmS36tajD34Gp4VA,Psych2Go,5,4,46931,3055,424,0.114293,1nvx-aMYTsI,Why You Feel Detached From Everyone (Schizoid Personality Disorder),26452
monthly,2026-05-01,2026-05-31,UCFJJziTVsiIVSyRKvXHX37g,Canticos - Bilingual Nursery Rhymes & Kids Songs,9,9,46774,41,0,0.002555,P-vJ3Qwbs64,¡Feliz Día del Maestro! Aprende El abecedario y las vocales | Preschool Learning @canticosworld,31575
monthly,2026-05-01,2026-05-31,UCaZ5txM63JGqgzRTVXy5e9g,César Dabián Finanzas,5,4,45766,1867,96,0.059386,oZdFmKbycx8,Guía completa para Retirarte Joven y Rico dominando el interés compuesto y negocios digitales,15757
