content_format,target,model_family,feature,feature_group,importance_type,importance_value,importance_rank,direction,notes
shorts,future_log_views_delta_7d,random_forest_regressor,topic_confidence,topic_metrics,permutation_importance_mean,-0.00013851,16,negative,primary
shorts,future_log_views_delta_7d,random_forest_regressor,topic_confidence,topic_metrics,permutation_importance_std,7.38e-06,16,negative,primary
shorts,future_log_views_delta_7d,random_forest_regressor,topic_confidence,topic_metrics,impurity_importance,0.00025012,16,negative,secondary
shorts,future_log_views_delta_7d,random_forest_regressor,topic_opportunity_score,topic_metrics,permutation_importance_mean,2.891e-05,28,positive,primary
shorts,future_log_views_delta_7d,random_forest_regressor,topic_opportunity_score,topic_metrics,permutation_importance_std,2.603e-05,28,positive,primary
shorts,future_log_views_delta_7d,random_forest_regressor,topic_opportunity_score,topic_metrics,impurity_importance,0.00015896,28,positive,secondary
shorts,future_log_views_delta_7d,random_forest_regressor,topic_saturation_score,topic_metrics,permutation_importance_mean,1.935e-05,31,positive,primary
shorts,future_log_views_delta_7d,random_forest_regressor,topic_saturation_score,topic_metrics,permutation_importance_std,3.298e-05,31,positive,primary
shorts,future_log_views_delta_7d,random_forest_regressor,topic_saturation_score,topic_metrics,impurity_importance,0.00015327,31,positive,secondary
shorts,future_log_views_delta_7d,random_forest_regressor,trend_burst_score,engagement_context,permutation_importance_mean,8.6e-07,49,positive,primary
shorts,future_log_views_delta_7d,random_forest_regressor,trend_burst_score,engagement_context,permutation_importance_std,2.11e-06,49,positive,primary
shorts,future_log_views_delta_7d,random_forest_regressor,trend_burst_score,engagement_context,impurity_importance,8.77e-06,49,positive,secondary
shorts,future_log_views_delta_7d,random_forest_regressor,tutorial_semantic_score,semantic_scores,permutation_importance_mean,1.133e-05,36,negative,primary
shorts,future_log_views_delta_7d,random_forest_regressor,tutorial_semantic_score,semantic_scores,permutation_importance_std,1.054e-05,36,negative,primary
shorts,future_log_views_delta_7d,random_forest_regressor,tutorial_semantic_score,semantic_scores,impurity_importance,2.453e-05,36,negative,secondary
shorts,future_log_views_delta_7d,random_forest_regressor,urgency_semantic_score,semantic_scores,permutation_importance_mean,-0.00019188,14,mixed,primary
shorts,future_log_views_delta_7d,random_forest_regressor,urgency_semantic_score,semantic_scores,permutation_importance_std,0.00013943,14,mixed,primary
shorts,future_log_views_delta_7d,random_forest_regressor,urgency_semantic_score,semantic_scores,impurity_importance,0.00079222,14,mixed,secondary
shorts,future_log_views_delta_7d,random_forest_regressor,views_delta,engagement_context,permutation_importance_mean,1.53621923,1,positive,primary
shorts,future_log_views_delta_7d,random_forest_regressor,views_delta,engagement_context,permutation_importance_std,0.03398553,1,positive,primary
shorts,future_log_views_delta_7d,random_forest_regressor,views_delta,engagement_context,impurity_importance,0.93901085,1,positive,secondary
shorts,future_log_views_delta_7d,random_forest_regressor,warning_semantic_score,semantic_scores,permutation_importance_mean,6.8e-06,40,positive,primary
shorts,future_log_views_delta_7d,random_forest_regressor,warning_semantic_score,semantic_scores,permutation_importance_std,1.628e-05,40,positive,primary
shorts,future_log_views_delta_7d,random_forest_regressor,warning_semantic_score,semantic_scores,impurity_importance,7.383e-05,40,positive,secondary
shorts,future_log_views_delta_7d,random_forest_regressor,hook_semantic_type__ai,title_style,permutation_importance_mean,-3.052e-05,26,negative,primary
shorts,future_log_views_delta_7d,random_forest_regressor,hook_semantic_type__ai,title_style,permutation_importance_std,1.397e-05,26,negative,primary
shorts,future_log_views_delta_7d,random_forest_regressor,hook_semantic_type__ai,title_style,impurity_importance,4.711e-05,26,negative,secondary
shorts,future_log_views_delta_7d,random_forest_regressor,hook_semantic_type__curiosity,title_style,permutation_importance_mean,-7.46e-06,38,positive,primary
shorts,future_log_views_delta_7d,random_forest_regressor,hook_semantic_type__curiosity,title_style,permutation_importance_std,1.07e-06,38,positive,primary
shorts,future_log_views_delta_7d,random_forest_regressor,hook_semantic_type__curiosity,title_style,impurity_importance,3.1e-06,38,positive,secondary
shorts,future_log_views_delta_7d,random_forest_regressor,hook_semantic_type__finance,title_style,permutation_importance_mean,-3.11e-06,44,negative,primary
shorts,future_log_views_delta_7d,random_forest_regressor,hook_semantic_type__finance,title_style,permutation_importance_std,1.8e-07,44,negative,primary
shorts,future_log_views_delta_7d,random_forest_regressor,hook_semantic_type__finance,title_style,impurity_importance,1.58e-06,44,negative,secondary
shorts,future_log_views_delta_7d,random_forest_regressor,hook_semantic_type__news,title_style,permutation_importance_mean,-4e-07,51,positive,primary
shorts,future_log_views_delta_7d,random_forest_regressor,hook_semantic_type__news,title_style,permutation_importance_std,2.9e-07,51,positive,primary
shorts,future_log_views_delta_7d,random_forest_regressor,hook_semantic_type__news,title_style,impurity_importance,1.26e-06,51,positive,secondary
shorts,future_log_views_delta_7d,random_forest_regressor,hook_semantic_type__promise,title_style,permutation_importance_mean,-9e-07,48,positive,primary
shorts,future_log_views_delta_7d,random_forest_regressor,hook_semantic_type__promise,title_style,permutation_importance_std,3.1e-07,48,positive,primary
shorts,future_log_views_delta_7d,random_forest_regressor,hook_semantic_type__promise,title_style,impurity_importance,1.54e-06,48,positive,secondary
shorts,future_log_views_delta_7d,random_forest_regressor,hook_semantic_type__tutorial,title_style,permutation_importance_mean,2.139e-05,30,negative,primary
