process_id,name,domain,process_type,cadence,dashboard_tab,impact_type,status,last_run_at,is_stale
github_pages,Deploy Dashboard to GitHub Pages,github,github_workflow,daily_or_on_data_change,Creative,workflow,not_initialized,,False
github_pages,Deploy Dashboard to GitHub Pages,github,github_workflow,daily_or_on_data_change,Brief,workflow,not_initialized,,False
github_pages,Deploy Dashboard to GitHub Pages,github,github_workflow,daily_or_on_data_change,Operations,observability,not_initialized,,False
github_train_model,Train Model Suite,github,github_workflow,twice_weekly,Models,workflow,stale,2026-07-20T12:38:59.440315+00:00,True
github_train_model,Train Model Suite,github,github_workflow,twice_weekly,Content Drivers,workflow,stale,2026-07-20T12:38:59.440315+00:00,True
github_train_model,Train Model Suite,github,github_workflow,twice_weekly,Operations,observability,stale,2026-07-20T12:38:59.440315+00:00,True
github_predict_model,Predict With Model Artifact,github,github_workflow,after_model_training,Models,workflow,stale,2026-07-20T12:40:24.631393+00:00,True
github_predict_model,Predict With Model Artifact,github,github_workflow,after_model_training,Operations,observability,stale,2026-07-20T12:40:24.631393+00:00,True
cli_run,Daily YouTube pipeline,ingestion,cli,daily,Overview,data_source,stale,2026-05-29T05:27:54.491409+00:00,True
cli_run,Daily YouTube pipeline,ingestion,cli,daily,Videos,data_source,stale,2026-05-29T05:27:54.491409+00:00,True
cli_run,Daily YouTube pipeline,ingestion,cli,daily,Channels,data_source,stale,2026-05-29T05:27:54.491409+00:00,True
cli_run,Daily YouTube pipeline,ingestion,cli,daily,Scores,data_source,stale,2026-05-29T05:27:54.491409+00:00,True
cli_run,Daily YouTube pipeline,ingestion,cli,daily,Advanced,data_source,stale,2026-05-29T05:27:54.491409+00:00,True
cli_run,Daily YouTube pipeline,ingestion,cli,daily,Titles,data_source,stale,2026-05-29T05:27:54.491409+00:00,True
cli_run,Daily YouTube pipeline,ingestion,cli,daily,Periods,data_source,stale,2026-05-29T05:27:54.491409+00:00,True
cli_run,Daily YouTube pipeline,ingestion,cli,daily,Alerts,data_source,stale,2026-05-29T05:27:54.491409+00:00,True
cli_run,Daily YouTube pipeline,ingestion,cli,daily,Data Quality,data_source,stale,2026-05-29T05:27:54.491409+00:00,True
cli_run,Daily YouTube pipeline,ingestion,cli,daily,Operations,observability,stale,2026-05-29T05:27:54.491409+00:00,True
cli_dry_run,Quota dry run,ingestion,cli,before_monitor_run,Operations,observability,unknown,,False
cli_validate_latest,Validate latest run,validation,cli,after_monitor_run,Data Quality,data_source,unknown,,False
cli_validate_latest,Validate latest run,validation,cli,after_monitor_run,Operations,observability,unknown,,False
cli_export_latest,Export latest run,analytics,cli,after_monitor_run,Overview,data_source,stale,2026-05-25T12:54:00.716806+00:00,True
cli_export_latest,Export latest run,analytics,cli,after_monitor_run,Videos,data_source,stale,2026-05-25T12:54:00.716806+00:00,True
cli_export_latest,Export latest run,analytics,cli,after_monitor_run,Channels,data_source,stale,2026-05-25T12:54:00.716806+00:00,True
cli_export_latest,Export latest run,analytics,cli,after_monitor_run,Periods,data_source,stale,2026-05-25T12:54:00.716806+00:00,True
cli_export_latest,Export latest run,analytics,cli,after_monitor_run,Operations,observability,stale,2026-05-25T12:54:00.716806+00:00,True
cli_build_analytics,Build analytics data mart,analytics,cli,after_export,Overview,data_source,stale,2026-05-25T13:00:45.170160+00:00,True
cli_build_analytics,Build analytics data mart,analytics,cli,after_export,Videos,data_source,stale,2026-05-25T13:00:45.170160+00:00,True
cli_build_analytics,Build analytics data mart,analytics,cli,after_export,Channels,data_source,stale,2026-05-25T13:00:45.170160+00:00,True
cli_build_analytics,Build analytics data mart,analytics,cli,after_export,Scores,data_source,stale,2026-05-25T13:00:45.170160+00:00,True
cli_build_analytics,Build analytics data mart,analytics,cli,after_export,Advanced,data_source,stale,2026-05-25T13:00:45.170160+00:00,True
cli_build_analytics,Build analytics data mart,analytics,cli,after_export,Titles,data_source,stale,2026-05-25T13:00:45.170160+00:00,True
cli_build_analytics,Build analytics data mart,analytics,cli,after_export,Periods,data_source,stale,2026-05-25T13:00:45.170160+00:00,True
