content_format,video_id,hybrid_decision_score,model_score_percentile,model_score,prediction_rank,decision_score,confidence_level
shorts,Gef-vJJn5E4,36.4361,60.7268,0.01725766,2249,0.0,
shorts,2RM2PBq2Ia0,36.4213,23.5325,2.945e-05,4378,55.7544,high
shorts,ntcYKjiZ-eE,36.4151,60.6918,0.01723089,2251,0.0,
shorts,-JHEk9tfh-0,36.4046,60.6744,0.01714846,2252,0.0,
shorts,AnhXe6C7RcY,36.397,16.0901,5.34e-06,4804,66.8574,high
shorts,x3nF275ownA,36.3941,60.6569,0.01714212,2253,0.0,
shorts,Z2bME8BVEIs,36.3864,20.9469,1.823e-05,4526,59.5457,high
shorts,TElxg1LKXoE,36.3731,60.6219,0.01705648,2255,0.0,
shorts,NExulOmweSU,36.3683,21.8379,2.11e-05,4475,58.1639,high
shorts,f6msTAJpzdI,36.3627,60.6045,0.0169364,2256,0.0,
shorts,54zs8ee_5wo,36.361,24.2837,3.326e-05,4335,54.477,high
shorts,03tAxDlt3gE,36.3522,60.587,0.01689923,2257,0.0,
shorts,cmEww4x_Bac,36.3495,24.8078,3.552e-05,4305,53.662,high
shorts,2i7sK_9SCLI,36.3344,25.8386,4.358e-05,4246,52.0782,high
shorts,JJun6e7z3w0,36.3313,60.5521,0.0168491,2259,0.0,
shorts,M4bFVJIx3Nw,36.3103,60.5171,0.01680171,2261,0.0,
shorts,OI5z9S48LlI,36.2998,60.4997,0.01679711,2262,0.0,
shorts,az2XB-m07Yc,36.2893,60.4822,0.01674224,2263,0.0,
shorts,baPHpWqqOZ4,36.2788,60.4647,0.01674132,2264,0.0,
shorts,ybAYBwr_KFY,36.2579,60.4298,0.01665986,2266,0.0,
shorts,3KWQ6EIPghs,36.2474,60.4123,0.01662891,2267,0.0,
shorts,N8v_oJ6uy1o,36.2264,60.3774,0.01659089,2269,0.0,
shorts,zjC25y9F8mc,36.2178,21.5758,2.013e-05,4490,58.1809,high
shorts,NuoEsHIW5JA,36.2159,60.3599,0.01656066,2270,0.0,
shorts,neH5XN_YzW0,36.2092,17.6275,7.94e-06,4716,64.0817,high
shorts,DjBRpFp-2Pg,36.1949,60.3249,0.01651768,2272,0.0,
shorts,FCkeoYrFASg,36.1845,60.3075,0.01650691,2273,0.0,
shorts,R_EdV9Zs0e4,36.174,60.29,0.01649953,2274,0.0,
shorts,Tnld96o9sN8,36.1635,60.2725,0.0164935,2275,0.0,
shorts,Ej3TLCDeT-Y,36.1531,60.2551,0.01646514,2276,0.0,
shorts,f6hphaC-KKc,36.1321,60.2201,0.01634162,2278,0.0,
shorts,cSgd98lWawI,36.1216,60.2027,0.01630526,2279,0.0,
shorts,3c9Oq8VyMpg,36.1174,16.789,6.39e-06,4764,65.1101,high
shorts,GmOespdgHZ0,36.1111,60.1852,0.01629395,2280,0.0,
shorts,N1wdfM6UjlU,36.1006,60.1677,0.01628091,2281,0.0,
shorts,BdOfmPe3j1s,36.0797,60.1328,0.01605197,2283,0.0,
shorts,LziXxw5CD10,36.0692,60.1153,0.01603836,2284,0.0,
shorts,IE0wIeTanrU,36.0482,60.0804,0.01599345,2286,0.0,
shorts,2ViQl88NH-I,36.0377,60.0629,0.01597135,2287,0.0,
shorts,hI-4Spycpik,36.0272,60.0454,0.0159275,2288,0.0,
shorts,IaAQseFTW14,36.0168,60.028,0.01590695,2289,0.0,
shorts,U-GI-TZZP8A,36.0063,60.0105,0.01579539,2290,0.0,
shorts,kYIy4hKLOMQ,35.9958,59.993,0.01578751,2291,0.0,
shorts,MFD4aBT-RCc,35.9853,59.9755,0.01577464,2292,0.0,
shorts,jX4hZBrtu64,35.9749,59.9581,0.01570959,2293,0.0,
shorts,O9fPCxXsMOY,35.9644,59.9406,0.01564273,2294,0.0,
shorts,J6N8PYftvPU,35.9539,59.9231,0.01564136,2295,0.0,
shorts,AA8_FvtEv4U,35.9396,23.7596,3.025e-05,4365,54.2097,high
shorts,liXBb7GlAlo,35.9329,59.8882,0.01535759,2297,0.0,
shorts,fn-NmtLFpI0,35.9224,59.8707,0.01533492,2298,0.0,
shorts,saLXbA_OCkE,35.9112,14.5702,2.81e-06,4891,67.9226,high
shorts,aF7EFn9zxsk,35.9015,59.8358,0.01522954,2300,0.0,
shorts,ewgTvaHiMos,35.8805,59.8008,0.0150716,2302,0.0,
shorts,t8m4CTxNPg8,35.8763,22.6765,2.528e-05,4427,55.6761,high
shorts,elpKxcf6VSU,35.8595,59.7659,0.01492667,2304,0.0,
shorts,_JVcmBfAn2Q,35.8386,59.731,0.01480697,2306,0.0,
shorts,8pxIIuY203o,35.8281,59.7135,0.01475081,2307,0.0,
shorts,DXc1pnmWLOY,35.8176,59.696,0.01470539,2308,0.0,
shorts,dI2g-VmO-tY,35.8071,59.6785,0.01467563,2309,0.0,
shorts,ovIUl_-B5hA,35.8024,21.6108,2.027e-05,4488,57.0898,high
shorts,uHxqeL7QELA,35.7967,59.6611,0.01457307,2310,0.0,
shorts,WyaSFPpbNLY,35.7862,59.6436,0.01451427,2311,0.0,
shorts,8C-lYCzCVX4,35.7757,59.6261,0.01451052,2312,0.0,
shorts,vj2x2LbwVbs,35.7547,59.5912,0.01445419,2314,0.0,
shorts,oCz0UzWtfpA,35.7442,59.5737,0.0144166,2315,0.0,
shorts,Dic-fJdWqhY,35.7264,17.1733,7.22e-06,4742,63.556,high
shorts,Y7VILWHNaaI,35.7233,59.5388,0.01424391,2317,0.0,
shorts,Hs5jRNx8Egw,35.7128,59.5213,0.01420568,2318,0.0,
shorts,a-75aIoH2QI,35.7023,59.5038,0.01419881,2319,0.0,
shorts,YdZYojJ58CQ,35.6918,59.4864,0.01419764,2320,0.0,
shorts,fTe416rfdyM,35.6813,59.4689,0.01418139,2321,0.0,
shorts,CtAPK8WsUb8,35.6708,59.4514,0.0141628,2322,0.0,
shorts,pDgXOzjYNso,35.6499,59.4165,0.01407789,2324,0.0,
shorts,WFOEVVlOH8s,35.6487,16.2299,5.48e-06,4796,64.7768,high
shorts,gM1DToU76x4,35.6456,7.8442,1.1e-07,5284,77.3478,high
shorts,FzdGk0ceLCA,35.6422,16.0377,5.17e-06,4807,65.0489,high
shorts,_u-lYl8vjK8,35.629,59.3816,0.01390751,2326,0.0,
shorts,DzdpzDxNW1Q,35.6185,59.3641,0.01389412,2327,0.0,
shorts,lsULN4tEa-M,35.608,59.3466,0.01389026,2328,0.0,
shorts,IkPeEiPm8YE,35.5975,59.3291,0.01384271,2329,0.0,
shorts,gGvkfd-LiKA,35.5871,17.645,8.18e-06,4715,62.5003,high
shorts,ol1raCzz8Ic,35.587,59.3117,0.01377697,2330,0.0,
shorts,wJl8aMWZp3A,35.5765,59.2942,0.01376238,2331,0.0,
shorts,jhEi99uTeSw,35.5734,20.7023,1.728e-05,4540,57.8801,high
shorts,-2b1XsquE5Y,35.566,59.2767,0.01367349,2332,0.0,
shorts,465Vc9I4fvc,35.5556,59.2593,0.01363162,2333,0.0,
