execution_date,channel_id,channel_name,video_id,title,title_length_chars,title_word_count,has_number,has_question,has_colon,has_parentheses,has_year,has_currency_symbol,has_negative_word,has_urgency_word,has_promise_word,has_ai_word,has_finance_word,title_changed,views_delta,engagement_rate
2026-04-30T11:10:02.884862+00:00,UCl5-lvQyfILb-l2abPk4Ntg,Inteligencia Artificial,BPt0fwBCDbQ,🤖 Es imposible que un reactor nuclear sufra una explosión nuclear 🤖 #ia #chatgpt #educación,91,13,False,False,False,False,False,False,False,False,False,True,False,False,36783,0.012281
2026-04-30T11:10:02.884862+00:00,UCtIdb7KRqOTcOogKsos_QRw,Lord Draugr,TET8fTKH1e8,Algo MUY RARO está pasando en el DESIERTO de CHINA,50,10,False,False,False,False,False,False,False,False,False,False,False,False,36451,0.045014
2026-04-30T11:10:02.884862+00:00,UCLe_q9axMaeTbjN0hy1Z9xA,Caleb Hammer,_WrHMsTYlOU,Couple Spent $100k Inheritance on a SCHOOL BUS,46,8,True,False,False,False,False,True,False,False,False,False,False,False,36339,0.028651
2026-04-30T11:10:02.884862+00:00,UCLe_q9axMaeTbjN0hy1Z9xA,Caleb Hammer,0HSNPIttevk,Do This in Your 20s To Become a MILLIONAIRE,43,9,True,False,False,False,False,False,False,False,False,False,False,False,35824,0.026082
2026-04-30T11:10:02.884862+00:00,UCGq-a57w-aPwyi3pW7XLiHw,The Diary Of A CEO,3OUrr_2UCYs,THEY'RE LYING TO YOU ABOUT PEPTIDES!,36,7,False,False,False,False,False,False,False,False,False,False,False,False,35667,0.025592
2026-04-30T11:10:02.884862+00:00,UCNYW2vfGrUE6R5mIJYzkRyQ,DrossRotzank,tbvteFr4SPQ,Querido Dross: el infierno del IMSS (Instituto Mexicano de Seguro Social),73,11,False,False,True,True,False,False,False,False,False,False,False,False,35184,0.067418
2026-04-30T11:10:02.884862+00:00,UCQX_MZRCaluNKxkywkLEgfA,Date un Vlog,er7v-GJj_V0,La economía mundial depende de esta isla (NO ES PETRÓLEO),57,10,False,False,False,True,False,False,False,False,False,False,False,False,35136,0.071553
2026-04-30T11:10:02.884862+00:00,UC5PwIMtLiIBCBhsu8f_-6UQ,Santiago Bilinkis,n1G2FQ0UEqc,Por qué saber usar IA ya no es opcional.,40,9,False,False,False,False,False,False,False,True,False,True,False,False,34966,0.02894
2026-04-30T11:10:02.884862+00:00,UCQHX6ViZmPsWiYSFAyS0a3Q,GothamChess,VsLOWe6VuyQ,Magnus Carlsen JUST ENDED CHESS.,32,5,False,False,False,False,False,False,False,False,False,False,False,False,34669,0.029198
2026-04-30T11:10:02.884862+00:00,UC52hytXteCKmuOzMViTK8_w,CdeCiencia,0kHJZFOuMWc,El ladrón más tonto del mundo,29,6,False,False,False,False,False,False,False,False,False,False,False,False,33174,0.05307
