execution_date,channel_id,channel_name,videos_tracked,new_videos,total_views,total_views_delta,total_likes_delta,total_comments_delta,avg_engagement_rate,median_views_delta,top_video_id,top_video_title,top_video_views_delta,shorts_count,mid_count,long_count
2026-05-18T02:10:49.522964+00:00,UCLXRGxAzeaLDGaOphqapzmg,codigofacilito,3,3,3457,0,0,0,0.016278,,,,,3,0,0
2026-05-18T02:10:49.522964+00:00,UCv85NiROLKddHa0fBATwTzw,Victor Robles WEB,3,3,22912,0,0,0,0.014433,,,,,3,0,0
2026-05-18T02:10:49.522964+00:00,UCok_yhjwg4WSx3s_2Yh8ZjQ,Topes de Gama,5,5,126409,0,0,0,0.072868,,,,,5,0,0
2026-05-18T02:10:49.522964+00:00,UCHhfu5p0zydyM-_nw3IJvig,Urban Tecno,1,1,2393,0,0,0,0.038028,,,,,1,0,0
2026-05-18T02:10:49.522964+00:00,UCLv7Gzc3VTO6ggFlXY0sOyw,Harvard University,1,1,10813,0,0,0,0.009618,,,,,1,0,0
2026-05-18T02:10:49.522964+00:00,UCShHFwKyhcDo3g7hr4f1R8A,World Science Festival,3,3,30631,0,0,0,0.016086,,,,,3,0,0
2026-05-18T02:10:49.522964+00:00,UCX16cLWl6dCjlZMgUBxgGkA,CuriosaMente,1,1,105926,0,0,0,0.100646,,,,,0,1,0
2026-05-18T02:10:49.522964+00:00,UCrsyfsHNdpB5U_FHENCuB2A,El Cubil de Peter,1,1,8268,0,0,0,0.070634,,,,,0,1,0
2026-05-18T02:10:49.522964+00:00,UCB34YbuG6ThXJzJsDAII5Dw,math2me,2,2,8065,0,0,0,0.011227,,,,,2,0,0
2026-05-18T02:10:49.522964+00:00,UCUBIrDsIVzRpKsClMlSlTpQ,BBC News Mundo,11,11,741176,0,0,0,0.031167,,,,,10,1,0
2026-05-18T02:10:49.522964+00:00,UCLXo7UDZvByw2ixzpQCufnA,Vox,2,2,125450,0,0,0,0.029695,,,,,0,2,0
2026-05-18T02:10:49.522964+00:00,UC6n8I1UDTKP1IWjQMg6_TwA,The B1M,1,1,53773,0,0,0,0.023767,,,,,1,0,0
2026-05-18T02:10:49.522964+00:00,UC16niRr50-MSBwiO3YDb3RA,BBC News,88,88,4470193,0,0,0,0.013431,,,,,88,0,0
2026-05-18T02:10:49.522964+00:00,UCupvZG-5ko_eiXAupbDfxWw,CNN,78,78,10522187,0,0,0,0.023452,,,,,64,14,0
2026-05-18T02:10:49.522964+00:00,UCBi2mrWuNuyYy4gbM6fU18Q,ABC News,34,34,689365,0,0,0,0.019469,,,,,34,0,0
2026-05-18T02:10:49.522964+00:00,UC8p1vwvWtl6T73JiExfWs1g,CBS News,24,24,554409,0,0,0,0.0126,,,,,11,13,0
2026-05-18T02:10:49.522964+00:00,UCeY0bbntWzzVIaj2z3QigXg,NBC News,65,65,881629,0,0,0,0.012759,,,,,65,0,0
2026-05-18T02:10:49.522964+00:00,UCnsvJeZO4RigQ898WdDNoBw,EL PAÍS,106,106,887537,0,0,0,0.022997,,,,,56,50,0
2026-05-18T02:10:49.522964+00:00,UCGXbLrVe8vnkiFv7q2vYv3w,El Mundo,192,192,1733574,0,0,0,0.0168,,,,,187,5,0
2026-05-18T02:10:49.522964+00:00,UClLLRs_mFTsNT5U-DqTYAGg,La Vanguardia,47,47,364955,0,0,0,0.022588,,,,,47,0,0
2026-05-18T02:10:49.522964+00:00,UCS0lmlVIYVz2qeWlZ_ynIWg,AJ+ Español,4,4,61783,0,0,0,0.098982,,,,,4,0,0
2026-05-18T02:10:49.522964+00:00,UCafNntv_qTQB26AvbEQNHPw,Aristegui Noticias,39,39,2442735,0,0,0,0.0276,,,,,39,0,0
2026-05-18T02:10:49.522964+00:00,UCUsm-fannqOY02PNN67C0KA,NMás,101,101,1207566,0,0,0,0.020271,,,,,87,14,0
2026-05-18T02:10:49.522964+00:00,UCM-GvgUy0EAZU7ZwXKLarkg,López-Dóriga,22,22,1284074,0,0,0,0.029947,,,,,22,0,0
2026-05-18T02:10:49.522964+00:00,UCUP6qv-_EIL0hwTsJaKYnvw,Azteca Noticias,85,85,4205290,0,0,0,0.030554,,,,,85,0,0
2026-05-18T02:10:49.522964+00:00,UCcHtke0raf8vNYLM1Hbq3Jw,Imagen Noticias,51,51,245840,0,0,0,0.013728,,,,,38,13,0
2026-05-18T02:10:49.522964+00:00,UCTJXx9onKH6g4cWHS9pLqsQ,El HuffPost,11,11,241252,0,0,0,0.026998,,,,,11,0,0
2026-05-18T02:10:49.522964+00:00,UCq-Fj5jknLsUf-MWSy4_brA,T-Series,11,11,940298,0,0,0,0.008438,,,,,11,0,0
2026-05-18T02:10:49.522964+00:00,UCpEhnqL0y41EpW2TvWAHD7Q,SET India,21,21,848511,0,0,0,0.006751,,,,,21,0,0
2026-05-18T02:10:49.522964+00:00,UCbCmjCuTUZos6Inko4u57UQ,Cocomelon - Nursery Rhymes,4,4,3792860,0,0,0,0.009159,,,,,4,0,0
2026-05-18T02:10:49.522964+00:00,UCK1i2UviaXLUNrZlAFpw_jA,El Reino Infantil,3,3,538060,0,0,0,0.009695,,,,,3,0,0
2026-05-18T02:10:49.522964+00:00,UCcdwLMPsaU2ezNSJU1nFoBQ,Baby Shark - Pinkfong Kids’ Songs & Stories,2,2,427563,0,0,0,0.008797,,,,,2,0,0
2026-05-18T02:10:49.522964+00:00,UCKAqou7V9FAWXpZd9xtOg3Q,Little Baby Bum - Nursery Rhymes & Kids Songs,4,4,518969,0,0,0,0.006107,,,,,4,0,0
2026-05-18T02:10:49.522964+00:00,UCJ5v_MCY6GNUBTO8-D3XoAg,WWE,64,64,28443134,0,0,0,0.029627,,,,,64,0,0
2026-05-18T02:10:49.522964+00:00,UCvgfXK4nTYKudb0rFR6noLA,UFC,45,45,4335176,0,0,0,0.017391,,,,,41,4,0
2026-05-18T02:10:49.522964+00:00,UCWJ2lWNubArHWmf3FIHbfcQ,NBA,121,121,7782812,0,0,0,0.023226,,,,,121,0,0
2026-05-18T02:10:49.522964+00:00,UCDVYQ4Zhbm3S2dlz7P1GBDg,NFL,3,3,105004,0,0,0,0.015694,,,,,3,0,0
2026-05-18T02:10:49.522964+00:00,UCoLrcjPV5PbUrUyXq5mjc_A,MLB,76,76,5432584,0,0,0,0.021638,,,,,76,0,0
2026-05-18T02:10:49.522964+00:00,UCpcTrCXblq78GZrTUTLWeBw,FIFA,27,27,1222589,0,0,0,0.031504,,,,,26,1,0
2026-05-18T02:10:49.522964+00:00,UCTl3QQTvqHFjurroKxexy2Q,Olympics,20,20,1621016,0,0,0,0.018449,,,,,20,0,0
2026-05-18T02:10:49.522964+00:00,UCTv-XvfzLX3i4IGWAm4sbmA,LALIGA EA SPORTS,67,67,6095850,0,0,0,0.034363,,,,,67,0,0
2026-05-18T02:10:49.522964+00:00,UCiWLfSweyRNmLpgEHekhoAg,ESPN,164,164,3899850,0,0,0,0.015486,,,,,164,0,0
2026-05-18T02:10:49.522964+00:00,UC08mnbiC4FykqpHqbEWgFcg,ESPN Deportes,48,48,790898,0,0,0,0.024977,,,,,42,6,0
2026-05-18T02:10:49.522964+00:00,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast,3,3,166579081,0,0,0,0.030981,,,,,3,0,0
2026-05-18T02:10:49.522964+00:00,UCRijo3ddMTht_IHyNSNXpNQ,Dude Perfect,2,2,23784890,0,0,0,0.015807,,,,,2,0,0
2026-05-18T02:10:49.522964+00:00,UCY30JRSgfhYXA6i6xX1erWg,Smosh,2,2,227644,0,0,0,0.055174,,,,,2,0,0
2026-05-18T02:10:49.522964+00:00,UC4PooiX37Pld1T8J5SYT-SQ,Good Mythical Morning,3,3,643657,0,0,0,0.025259,,,,,3,0,0
2026-05-18T02:10:49.522964+00:00,UCcgVECVN4OKV6DH1jLkqmcA,Jake Paul,6,6,942306,0,0,0,0.022237,,,,,6,0,0
2026-05-18T02:10:49.522964+00:00,UCGmnsW623G1r-Chmo5RB4Yw,KSI,3,3,27037473,0,0,0,0.022949,,,,,3,0,0
2026-05-18T02:10:49.522964+00:00,UCDogdKl7t7NHzQ95aEwkdMw,Sidemen,1,1,5247,0,0,0,0.059463,,,,,1,0,0
2026-05-18T02:10:49.522964+00:00,UCYiGq8XF7YQD00x7wAd62Zg,JuegaGerman,1,1,5175952,0,0,0,0.036442,,,,,1,0,0
2026-05-18T02:10:49.522964+00:00,UCCEmjNPpJYhGDgaEqeeA4HA,TheGrefg,3,3,1072159,0,0,0,0.026961,,,,,3,0,0
2026-05-18T02:10:49.522964+00:00,UCTHaNTsP7hsVgBxARZTuajw,LUZU TV,41,41,1198907,0,0,0,0.024588,,,,,41,0,0
2026-05-18T02:10:49.522964+00:00,UCoGDh1Xa3kUCpok24JN5DKA,enchufetv,5,5,1512413,0,0,0,0.044373,,,,,5,0,0
2026-05-18T02:10:49.522964+00:00,UCBYyJBCtCvgqA4NwtoPMwpQ,The Wild Project,4,4,2100465,0,0,0,0.031001,,,,,4,0,0
2026-05-18T02:10:49.522964+00:00,UC5rJaxmE3UyVz59OGxbPdAg,Noticias Robotitus ,1,1,136265,0,0,0,0.040605,,,,,1,0,0
2026-05-18T02:10:49.522964+00:00,UCUXLlsi8mQeP0TvGbmSn8iw,Sopitas,1,1,5090,0,0,0,0.026719,,,,,1,0,0
2026-05-18T02:10:49.522964+00:00,UCq2otJm7A6jGGcGFEks0HVw,Se Regalan Dudas Podcast,3,3,15787,0,0,0,0.030875,,,,,3,0,0
2026-05-18T02:10:49.522964+00:00,UC2iUwfYi_1FCGGqhOUNx-iA,ScreenRant,5,5,68754,0,0,0,0.016836,,,,,5,0,0
2026-05-18T02:10:49.522964+00:00,UCYUQQgogVeQY8cMQamhHJcg,CinemaSins,9,9,234979,0,0,0,0.011286,,,,,9,0,0
2026-05-18T02:10:49.522964+00:00,UCcAd5Np7fO8SeejB1FVKcYw,Best Ever Food Review Show,1,1,40413,0,0,0,0.018484,,,,,1,0,0
2026-05-18T02:10:49.522964+00:00,UCJHA_jMfCvEnv-3kRjTCQXw,Binging with Babish,2,2,196981,0,0,0,0.018093,,,,,2,0,0
2026-05-18T02:10:49.522964+00:00,UCfyehHM_eo4g5JUyWmms2LA,Sorted Food,2,2,74787,0,0,0,0.020766,,,,,2,0,0
2026-05-18T02:10:49.522964+00:00,UCRzPUBhXUZHclB7B5bURFXw,Eater,1,1,679534,0,0,0,0.023782,,,,,0,1,0
2026-05-18T02:10:49.522964+00:00,UCmObdAaNbtVVR1OkKUsdgqg,Las Recetas de MJ,2,2,31956,0,0,0,0.050317,,,,,0,2,0
2026-05-18T02:10:49.522964+00:00,UCucNB6GOncGkTMB55ZrjYvg,Recetas de Esbieta,1,1,15152,0,0,0,0.025013,,,,,1,0,0
