execution_date,channel_id,channel_name,videos_tracked,new_videos,total_views_delta,median_views_delta,avg_engagement_rate,channel_growth_7d,channel_growth_30d,channel_momentum_7d_vs_30d,channel_momentum_score,publish_frequency_7d,publish_frequency_30d,channel_consistency_score,channel_volatility_robust,top_video_id,top_video_title,top_video_views_delta,shorts_ratio,mid_ratio,long_ratio,metric_confidence_score
2026-05-18T02:10:49.522964+00:00,UCXuqSBlHAE6Xw-yeJA0Tunw,Linus Tech Tips,2,2,0,,0.02804,0,0,0,36.124402,2,2,100,,,,,1,0,0,41
2026-05-18T02:10:49.522964+00:00,UCXZCJLdBC09xxGZ6gcdrc6A,OpenAI,2,2,0,,0.029062,0,0,0,36.124402,2,2,100,,,,,1,0,0,41
2026-05-18T02:10:49.522964+00:00,UC_x5XG1OV2P6uZZ5FSM9Ttw,Google for Developers,3,3,0,,0.017928,0,0,0,36.124402,3,3,100,,,,,1,0,0,44
2026-05-18T02:10:49.522964+00:00,UCsMica-v34Irf9KVTh6xx-g,Microsoft Developer,5,5,0,,0.017159,0,0,0,36.124402,5,5,100,,,,,1,0,0,50
2026-05-18T02:10:49.522964+00:00,UC8butISFwT-Wl7EV0hUK0BQ,freeCodeCamp.org,6,6,0,,0.011763,0,0,0,36.124402,6,6,100,,,,,1,0,0,53
2026-05-18T02:10:49.522964+00:00,UC4JX40jDee_tINbkjycV4Sg,Tech With Tim,10,10,0,,0.037138,0,0,0,36.124402,10,10,100,,,,,0.9,0.1,0,65
2026-05-18T02:10:49.522964+00:00,UCLXRGxAzeaLDGaOphqapzmg,codigofacilito,3,3,0,,0.016278,0,0,0,36.124402,3,3,100,,,,,1,0,0,44
2026-05-18T02:10:49.522964+00:00,UCv85NiROLKddHa0fBATwTzw,Victor Robles WEB,3,3,0,,0.014433,0,0,0,36.124402,3,3,100,,,,,1,0,0,44
2026-05-18T02:10:49.522964+00:00,UCok_yhjwg4WSx3s_2Yh8ZjQ,Topes de Gama,5,5,0,,0.072868,0,0,0,36.124402,5,5,100,,,,,1,0,0,50
2026-05-18T02:10:49.522964+00:00,UCHhfu5p0zydyM-_nw3IJvig,Urban Tecno,1,1,0,,0.038028,0,0,0,36.124402,1,1,100,,,,,1,0,0,38
2026-05-18T02:10:49.522964+00:00,UCLv7Gzc3VTO6ggFlXY0sOyw,Harvard University,1,1,0,,0.009618,0,0,0,36.124402,1,1,100,,,,,1,0,0,38
2026-05-18T02:10:49.522964+00:00,UCShHFwKyhcDo3g7hr4f1R8A,World Science Festival,3,3,0,,0.016086,0,0,0,36.124402,3,3,100,,,,,1,0,0,44
2026-05-18T02:10:49.522964+00:00,UCX16cLWl6dCjlZMgUBxgGkA,CuriosaMente,1,1,0,,0.100646,0,0,0,36.124402,1,1,100,,,,,0,1,0,38
2026-05-18T02:10:49.522964+00:00,UCrsyfsHNdpB5U_FHENCuB2A,El Cubil de Peter,1,1,0,,0.070634,0,0,0,36.124402,1,1,100,,,,,0,1,0,38
2026-05-18T02:10:49.522964+00:00,UCB34YbuG6ThXJzJsDAII5Dw,math2me,2,2,0,,0.011227,0,0,0,36.124402,2,2,100,,,,,1,0,0,41
2026-05-18T02:10:49.522964+00:00,UCUBIrDsIVzRpKsClMlSlTpQ,BBC News Mundo,11,11,0,,0.031167,0,0,0,36.124402,11,11,100,,,,,0.909091,0.090909,0,68
2026-05-18T02:10:49.522964+00:00,UCLXo7UDZvByw2ixzpQCufnA,Vox,2,2,0,,0.029695,0,0,0,36.124402,2,2,100,,,,,0,1,0,41
2026-05-18T02:10:49.522964+00:00,UC6n8I1UDTKP1IWjQMg6_TwA,The B1M,1,1,0,,0.023767,0,0,0,36.124402,1,1,100,,,,,1,0,0,38
2026-05-18T02:10:49.522964+00:00,UC16niRr50-MSBwiO3YDb3RA,BBC News,88,88,0,,0.013431,0,0,0,36.124402,88,88,100,,,,,1,0,0,95
2026-05-18T02:10:49.522964+00:00,UCupvZG-5ko_eiXAupbDfxWw,CNN,78,78,0,,0.023452,0,0,0,36.124402,78,78,100,,,,,0.820513,0.179487,0,95
2026-05-18T02:10:49.522964+00:00,UCBi2mrWuNuyYy4gbM6fU18Q,ABC News,34,34,0,,0.019469,0,0,0,36.124402,34,34,100,,,,,1,0,0,95
2026-05-18T02:10:49.522964+00:00,UC8p1vwvWtl6T73JiExfWs1g,CBS News,24,24,0,,0.0126,0,0,0,36.124402,24,24,100,,,,,0.458333,0.541667,0,95
2026-05-18T02:10:49.522964+00:00,UCeY0bbntWzzVIaj2z3QigXg,NBC News,65,65,0,,0.012759,0,0,0,36.124402,65,65,100,,,,,1,0,0,95
2026-05-18T02:10:49.522964+00:00,UCnsvJeZO4RigQ898WdDNoBw,EL PAÍS,106,106,0,,0.022997,0,0,0,36.124402,106,106,100,,,,,0.528302,0.471698,0,95
