video_id,lsa_1,lsa_2,lsa_3,lsa_4,lsa_5,lsa_6,lsa_7,lsa_8,lsa_9,lsa_10,lsa_11,lsa_12,lsa_13,lsa_14,lsa_15,lsa_16,lsa_17,lsa_18,lsa_19,lsa_20
n8bdMyQzV0U,0.10055835,0.06013068,0.09561534,0.06470221,-0.08829594,0.02369011,0.07338314,-0.19230596,0.01895157,-0.00607089,-0.13978705,-0.0984439,0.13375495,0.07085015,-0.00745494,0.13555262,-0.01570389,-0.02401087,0.02553583,-0.00343577
5EWqr_Y2uH0,0.0160253,0.00784501,0.03722971,0.00740217,-0.01471852,0.05860956,-0.01359518,-0.02511779,-0.0014928,-0.02480101,-0.0029761,0.0228637,-0.0605247,-0.00730034,-0.016128,-0.00387879,-0.02795885,0.06965333,0.03576276,-0.09587817
wng1spgJCoU,0.02824075,0.01084366,0.07115565,0.01173789,-0.03164866,0.2593789,-0.09007462,0.06244501,-0.01595023,-0.15456073,-0.0296782,-0.03172418,-0.07547359,0.0145082,-0.05452294,0.0364519,0.10626741,0.02505381,-0.02585705,0.14562472
6CyjL4X8e7g,0.11901414,0.05515052,0.07618407,0.05244473,-0.08996089,0.04472554,0.04415444,-0.10328904,0.06096188,0.16963329,-0.03344083,-0.04588071,-0.01303132,0.00698756,-0.09244705,-0.01750392,0.02630627,-0.07996213,-0.02074018,0.0602854
KLYwFWIhPWI,0.02902578,-0.00414013,0.02669246,0.02633634,-0.01325308,0.02516286,0.01969667,-0.03429987,0.0076758,0.00142319,0.00067905,0.01771272,-0.00576111,-0.00184937,-0.00119064,0.01651984,0.00188696,-0.01871557,-0.00365365,-0.02787001
5LJ1cxjQhyE,0.02125012,0.0151716,0.02674996,0.02397222,-0.02239629,0.06493594,-0.01600997,-0.00635125,-0.01267549,-0.02094367,0.00305351,0.00554353,-0.00764544,0.00832186,-0.0261332,-0.00367944,-0.01615255,-0.02749334,0.00484398,-0.00985513
fRjAMALJ0r0,0.04990358,0.02113976,0.08591618,0.06647639,-0.05319348,0.03184046,0.0318207,-0.06286909,-0.01226146,0.018338,-0.04727771,0.07758743,-0.10673629,0.08171973,0.04383628,-0.03525354,0.00138095,-0.04932357,-0.00997795,-0.02570955
u_f8bJkfg68,0.073918,0.07613992,0.01922674,0.02387569,-0.0446918,-0.00077081,-0.03023399,0.03629743,-0.02881958,-0.00739026,0.01137367,0.00270267,-0.01390901,-0.01116721,0.03030512,0.00429982,-0.0618369,0.02375989,-0.01502095,0.02896204
TG39Ow5fepA,0.01491234,0.01179395,0.03499496,0.02824409,-0.03181048,0.17010716,-0.01508708,-0.04277658,0.08270015,0.58296603,0.12424914,0.06740821,-0.02896484,0.0054872,-0.21810683,0.07395232,0.08489919,0.04999277,-0.05678734,0.10813461
reCJ5EuvukI,0.01622927,0.01372068,0.0193531,0.01557832,-0.00792919,0.06854759,-0.01607788,0.0033347,0.00287453,0.02764305,0.01047491,0.00185439,0.00384189,-0.00974001,-0.00190028,-0.00484443,0.00127672,0.00730886,-0.01527633,-0.030467
AtSQBfBK6HE,0.01640952,0.00734766,0.02474049,0.02080759,-0.01796198,0.18553091,-0.0612741,0.03468596,0.00229073,0.06121514,0.048706,0.01807203,0.06260764,0.02562153,0.20836753,-0.03855134,-0.03415079,-0.04404761,0.03719899,-0.04848401
Hk-ARbCTKzM,0.01899798,-0.00055407,0.03473048,0.02170747,-0.0151264,0.16404393,-0.06096957,0.01404625,-0.00381994,-0.08993315,-0.02037214,0.00160955,0.00938317,0.00127351,-0.04644208,0.02494052,-0.02619292,-0.00674111,0.02687122,-0.02106558
ydRguU_cH8Y,0.01486227,-0.00301365,0.02258536,0.0185904,-0.01255038,0.13977531,-0.06161737,0.03343237,-0.01351023,-0.06864435,-0.01031835,0.00860351,-0.04082988,0.025904,0.05333648,0.06674218,0.04359204,-0.04972001,0.00576498,0.10458438
BAORYfrrBzc,0.00751343,0.00580155,0.01565201,0.01117518,-0.01346547,0.06609511,-0.02138954,0.00819189,-0.00822951,-0.02272841,0.00453103,0.00933543,0.00151303,0.01312315,0.00365783,0.01265698,-0.0010352,-0.01472574,0.02588978,-0.02227727
YUwjueXzffE,0.02473434,-0.00322147,0.04926519,0.01691601,-0.0069968,0.21822145,-0.06302548,0.02983048,0.0101768,0.05827037,0.00846337,0.00356752,-0.01391133,0.00772064,-0.0807976,0.04592655,0.01863431,-0.02128625,-0.0015881,0.04454847
dqazxW8R5BY,0.00398633,0.00188792,0.01449601,0.00892686,-0.01059177,0.10309066,-0.0336809,0.02164622,-0.00429978,-0.02831356,0.00022549,0.0039363,0.00800695,-0.00534486,0.0298649,-0.00047653,0.00730445,0.00220614,0.0042235,-0.00583741
TmkbUF0V0hM,0.02842682,0.00900252,0.03814382,0.03852278,-0.02294215,0.21634956,-0.02594438,-0.02724172,0.09399885,0.64723034,0.14729899,0.0812633,-0.0308977,0.02559118,-0.18825064,0.07884939,0.06802295,0.03095104,-0.05291716,0.11003814
0y8vRPcSvbw,0.01762083,0.01394059,0.03774211,0.0313538,-0.02704709,0.13794432,-0.0341371,-0.00060543,-0.00199214,-0.03575999,-0.01248147,0.01038451,-0.05095658,-0.00497442,-0.10114624,-0.05516695,-0.02180506,0.04405051,-0.01468069,-0.0559266
jLFG_FZKbks,0.02060131,0.00793406,0.0620553,0.00728588,-0.01318507,0.21472012,-0.06475144,0.03358208,-0.01148637,-0.10010092,-0.03587798,-0.00933493,-0.0370591,-0.00329962,-0.05460802,0.03717111,0.02142846,-0.07450767,0.00792352,0.08024367
2ZV29QhLfjw,0.06532054,0.0581628,0.06829271,0.04735517,-0.07123163,0.03057224,0.04884973,-0.09989449,0.00761238,0.01030511,-0.03847343,-0.01986708,-0.0281561,0.01505827,0.00397885,0.10657129,-0.02393295,0.07424578,-0.03255226,-0.03803485
MOrBFf1DVvs,0.01622751,0.00882178,0.0305724,0.02435924,-0.01548345,0.161941,-0.05814051,0.01724788,-0.00725712,-0.02170507,-0.02049916,0.01088064,-0.03447117,-0.02946493,-0.15305227,-0.02852996,-0.06880329,0.11001225,-0.02301397,-0.0812134
YGwqvGyl9f8,0.01526582,0.00424031,0.02584824,0.02019165,-0.0193656,0.14524088,-0.04499614,0.01995732,-0.00276725,0.01510011,0.00496331,-0.0005835,0.01390949,-0.00840159,0.09681314,-0.00241554,0.03331697,0.09494893,-0.01829578,-0.05505367
OTt76d3wPiQ,0.07718352,0.04433352,0.08337897,0.02065714,-0.05321465,0.03274817,0.06062776,-0.10383259,0.03670221,0.01972684,-0.0411252,-0.01512117,-0.0300845,-0.01409023,-0.05190381,0.01284121,-0.01775672,-0.10073911,-0.04834789,-0.05020598
gpfhjHmbmIE,0.07164744,0.07928229,0.13764151,-0.02952533,-0.01187488,0.05520281,0.0692346,0.00277874,0.0102064,-0.03906644,-0.0101502,-0.04601199,-0.15020397,0.0250656,0.04150791,-0.05445166,0.12581763,0.0779957,-0.13292733,0.1574336
kB_PJC80JhY,0.10386999,-0.02129928,0.10086928,0.05971096,-0.11532511,-0.02137059,0.00349753,0.01524417,-0.05375186,-0.02301574,-0.05547374,0.23838814,-0.01812049,-0.03434373,0.01381949,0.08468991,-0.01088489,-0.1196541,-0.12280011,-0.07243398
rzVhPTSNWnE,0.0113646,0.00959426,0.02978132,0.01497945,-0.01991269,0.05620255,0.00383623,-0.05001585,-0.00611342,-0.00203803,-0.03933055,-0.00097981,0.11840656,-0.08872074,0.0299924,0.0583045,0.15474564,0.01172619,-0.0097156,-0.02060297
66gMxbNKaYA,0.10089136,0.13396501,0.05112394,0.0445159,-0.07610862,0.01242759,0.04988817,-0.09020277,-0.00785742,-0.0062334,-0.0512874,-0.04665365,-0.07303791,-0.00176378,0.02007944,0.0475879,0.0251648,0.11243576,0.0114835,0.08582967
W65cfPslnzo,0.01049301,0.00245167,0.02217288,0.01583315,-0.01713719,0.11914618,-0.03612614,0.01603522,0.00337378,0.01669453,0.0103524,0.00848833,0.0152882,0.0062517,0.03923485,-0.02431574,-0.01083009,0.00743893,0.00018301,-0.0378536
v_1Dhh8G84c,0.01519441,0.0107054,0.0331752,0.02406508,-0.03201571,0.12105762,-0.03266305,-0.00407012,0.0025844,0.01165312,0.00053413,-0.00837428,-0.013632,-0.02320667,0.00153328,-0.02277386,-0.01404609,0.08267199,-0.02710917,-0.04297853
A2O_CSDImRs,0.01697164,0.00942848,0.0655785,-0.00107268,-0.01058215,0.36673875,-0.124899,0.09336493,-0.00948803,-0.12415779,0.00420454,-0.02435182,-0.00344921,0.03413807,0.0433601,0.05299261,0.02511648,-0.15372981,0.05422713,0.18315183
_OGwq1_pxCE,0.06596975,0.02214966,0.0909924,-0.00449868,-0.01874765,0.03098504,0.01252649,-0.08902565,0.07452907,-0.02349522,-0.05677154,-0.0468854,0.06096052,0.04903979,-0.06367066,0.01325453,0.00544343,-0.01353255,0.06269242,-0.04645907
